rank_id,female,tot_score,COMPETITOR,zigzag_time
1,0,962,Rich Froning,11.7
2,0,890,Jason Khalipa,12.4
3,0,802,Ben Smith,11.1
4,0,770,Scott Panchik,11.2
5,0,765,Garret Fisher,11.9
6,0,742,Marcus Hendren,10.9
7,0,729,Josh Bridges,12.2
8,0,667,Dan Bailey,11.1
9,0,663,Neal Maddox,11.3
10,0,646,ZA Anderson,11.4
11,0,645,Chad Mackay,11.9
12,0,640,Albert-Dominic Larouche,11.4
13,0,629,Daniel Petro,11.7
14,0,625,Graham Holmberg,11.6
15,0,612,Frederik Aegidius,11.8
16,0,611,Ben Stoneberg,11.7
17,0,607,Justin Allen,11.2
18,0,602,Travis Mayer,11.6
19,0,595,Lucas Parker,11.6
20,0,591,Kyle Kasperbauer,11.5
21,0,589,Matt Chan,12.4
22,0,584,Roy Gamboa,11.3
23,0,573,Tyson Takasaki,11.9
24,0,572,Jordan Troyan,11.3
25,0,564,Lacee Kovacs,12.2
26,0,561,Simon Paquette,12.1
27,0,552,Aja Barto,11.2
28,0,547,Kenneth Leverich,11.8
29,0,540,Matt Hathcock,12.1
30,0,495,Mikko Aronp„„,11.9
31,0,416,Bryan Miller,12.5
32,0,388,David Levey,11.3
33,0,382,Rob Forte,12.3
34,0,379,Daniel Tyminski,11.7
35,0,376,Wes Piatt,11.4
36,0,361,Alex Nettey,11.8
37,0,361,Marcus Filly,11.6
38,0,326,Gary Helmick,11.3
39,0,309,Eric Magee,11.9
40,0,296,Mike McGoldrick,11.9
41,0,273,Austin Malleolo,11.7
42,0,248,Zachary Forrest,11.8
43,0,220,Orlando Trejo,12.6
44,0,182,Ryan Swobody,12.2
45,0,192,Brandon Swan,11.3
46,0,159,Michael Mogard,11.3
1,1,920,Samantha Briggs,12.9
2,1,821,Lindsey Valenzuela,12.9
3,1,818,Valerie Voboril,12.8
4,1,818,Alessandra Pichelli,12.4
5,1,811,Talayna Fortunato,13.3
6,1,790,Jenn Jones,12.9
7,1,775,Christy Phillips,12.1
8,1,724,Michelle Kinney,12.3
9,1,706,Anna Tunnicliffe,13
10,1,697,Elisabeth Akinwale,13.1
11,1,696,Rebecca Voigt,12.9
12,1,685,Kara Webb,12.5
13,1,671,Michele Letendre,13.2
14,1,670,Rory Zambard,12.9
15,1,658,Ruth Anderson Horrell,13.3
16,1,656,Camille Leblanc-Bazinet,13.4
17,1,656,Caroline Fryklund,12.8
18,1,642,Danielle Horan,13.6
19,1,639,Kaleena Ladeairous,13.3
20,1,634,Stacie Tovar,12.2
21,1,627,Deborah Cordner Carson,12.3
22,1,619,Jennifer Smith,12.4
23,1,596,Emily Carothers,12.8
24,1,585,Katrin Tanja Davidsdottir,13.2
25,1,528,Emily Friedman,12.7
26,1,520,Margaux Alvarez,13.5
27,1,505,Erin Light,13
28,1,452,Lindy Wall,11.9
29,1,452,Cassidy Lance,13
30,1,425,Natalie McLain,13.1
31,1,352,Tiffany Hendrickson,13.1
32,1,349,Kristan Clever,13
33,1,338,Michelle Crawford,11.9
34,1,338,Gretchen Kittelberger,13.2
35,1,323,Amanda Goodman,13.2
36,1,320,Pip Malone,13.5
37,1,318,Holly Mata,12.2
38,1,309,Carla Nunes da Costa,16
39,1,304,Nicole Tainatongo,12.6
40,1,265,Emmalee Teribery,13.6
41,1,261,Ashley Carriveau,13.5
42,1,240,Courtney Modecki,12.7
43,1,230,Ashleigh Moe,13.4
44,1,87,Heather Gillespie,
